Method,Trial,P10_Throughput,Avg_Throughput,Avg_Sleeping_Sectors,Avg_Energy_Efficiency
VDN,9,2.6830548204451428,7.132278850131534,19.0,1.5957136391391418
VDN,10,1.7271325162114592,6.889024993402752,19.0,1.5111698966012899
VDN,11,2.0693472547696397,7.265983603102468,19.0,1.5737519087255418
VDN,12,2.420170116513251,7.447923377778779,19.0,1.426658306081555
VDN,13,2.5303494548901555,7.107809051730687,19.0,1.5696128871280335
VDN,14,2.4855496441373477,7.231595638113138,19.0,1.5687323465129095
VDN,15,2.2300617269858796,7.188331368273612,19.0,1.4593152361224342
VDN,16,2.1913916698845703,7.2030271902031044,19.0,1.6390559552942463
VDN,17,1.7302965594611632,7.148250872294743,19.0,1.6438838618633627
VDN,18,2.469654143546455,7.120145190900003,19.0,0.9395459366138579
VDN,19,1.632554395891588,7.1233247940746365,19.0,1.5085672230228935
